2026-06-13 06:56:24,123 | INFO | Bulk Upserting 100 records
2026-06-13 06:56:29,376 | INFO | Bulk Upserting 100 records
2026-06-13 06:56:34,318 | INFO | Bulk Upserting 100 records
2026-06-13 06:56:39,788 | INFO | Bulk Upserting 100 records
2026-06-13 06:56:45,398 | INFO | Bulk Upserting 100 records
2026-06-13 06:56:49,953 | INFO | Bulk Upserting 100 records
2026-06-13 06:56:53,992 | INFO | Bulk Upserting 100 records
2026-06-13 06:56:58,254 | INFO | Bulk Upserting 100 records
2026-06-13 06:57:03,122 | INFO | Bulk Upserting 100 records
2026-06-13 06:57:06,533 | INFO | Bulk Upserting 100 records
2026-06-13 06:57:10,645 | INFO | Bulk Upserting 100 records
2026-06-13 06:57:15,639 | INFO | Bulk Upserting 100 records
2026-06-13 06:57:22,403 | INFO | Bulk Upserting 100 records
2026-06-13 06:57:27,571 | INFO | Bulk Upserting 100 records
2026-06-13 06:57:32,264 | INFO | Bulk Upserting 100 records
2026-06-13 06:57:37,453 | INFO | Bulk Upserting 100 records
2026-06-13 06:57:43,062 | INFO | Bulk Upserting 100 records
2026-06-13 06:57:47,616 | INFO | Bulk Upserting 100 records
2026-06-13 06:57:52,295 | INFO | Bulk Upserting 100 records
2026-06-13 06:57:56,966 | INFO | Bulk Upserting 100 records
2026-06-13 06:58:01,566 | INFO | Bulk Upserting 100 records
2026-06-13 06:58:06,377 | INFO | Bulk Upserting 100 records
2026-06-13 06:58:11,317 | INFO | Bulk Upserting 100 records
2026-06-13 06:58:16,337 | INFO | Bulk Upserting 100 records
2026-06-13 06:58:20,962 | INFO | Bulk Upserting 100 records
2026-06-13 06:58:25,676 | INFO | Bulk Upserting 100 records
2026-06-13 06:58:30,358 | INFO | Bulk Upserting 100 records
2026-06-13 06:58:35,157 | INFO | Bulk Upserting 100 records
2026-06-13 06:58:39,706 | INFO | Bulk Upserting 100 records
2026-06-13 06:58:45,931 | INFO | Bulk Upserting 100 records
2026-06-13 06:58:50,835 | INFO | Bulk Upserting 100 records
2026-06-13 06:58:55,660 | INFO | Bulk Upserting 100 records
2026-06-13 06:59:00,516 | INFO | Bulk Upserting 98 records
2026-06-13 06:59:04,805 | INFO | Bulk Upserting 100 records
2026-06-13 06:59:09,090 | INFO | Bulk Upserting 100 records
2026-06-13 06:59:13,468 | INFO | Bulk Upserting 100 records
2026-06-13 06:59:17,759 | INFO | Bulk Upserting 100 records
2026-06-13 06:59:21,871 | INFO | Bulk Upserting 100 records
2026-06-13 06:59:26,043 | INFO | Bulk Upserting 100 records
2026-06-13 06:59:29,988 | INFO | Bulk Upserting 100 records
2026-06-13 06:59:34,175 | INFO | Bulk Upserting 100 records
2026-06-13 06:59:38,235 | INFO | Bulk Upserting 100 records
2026-06-13 06:59:42,150 | INFO | Bulk Upserting 100 records
2026-06-13 06:59:46,217 | INFO | Bulk Upserting 100 records
2026-06-13 06:59:50,490 | INFO | Bulk Upserting 100 records
2026-06-13 06:59:54,432 | INFO | Bulk Upserting 100 records
2026-06-13 06:59:58,121 | INFO | Bulk Upserting 100 records
2026-06-13 07:00:01,951 | INFO | Bulk Upserting 100 records
2026-06-13 07:00:05,648 | INFO | Bulk Upserting 100 records
2026-06-13 07:00:09,714 | INFO | Bulk Upserting 100 records
2026-06-13 07:00:13,660 | INFO | Bulk Upserting 100 records
2026-06-13 07:00:17,721 | INFO | Bulk Upserting 100 records
2026-06-13 07:00:21,731 | INFO | Bulk Upserting 100 records
2026-06-13 07:00:25,855 | INFO | Bulk Upserting 100 records
2026-06-13 07:00:29,815 | INFO | Bulk Upserting 100 records
2026-06-13 07:00:33,974 | INFO | Bulk Upserting 100 records
2026-06-13 07:00:37,992 | INFO | Bulk Upserting 100 records
2026-06-13 07:00:42,058 | INFO | Bulk Upserting 100 records
2026-06-13 07:00:46,052 | INFO | Bulk Upserting 100 records
2026-06-13 07:00:50,243 | INFO | Bulk Upserting 100 records
2026-06-13 07:00:53,918 | INFO | Bulk Upserting 100 records
2026-06-13 07:00:57,984 | INFO | Bulk Upserting 100 records
2026-06-13 07:01:02,191 | INFO | Bulk Upserting 100 records
2026-06-13 07:01:06,499 | INFO | Bulk Upserting 100 records
2026-06-13 07:01:11,025 | INFO | Bulk Upserting 100 records
2026-06-13 07:01:15,500 | INFO | Bulk Upserting 100 records
2026-06-13 07:01:19,325 | INFO | Bulk Upserting 100 records
2026-06-13 07:01:23,156 | INFO | Bulk Upserting 100 records
2026-06-13 07:01:27,341 | INFO | Bulk Upserting 100 records
2026-06-13 07:01:31,392 | INFO | Bulk Upserting 100 records
2026-06-13 07:01:35,626 | INFO | Bulk Upserting 100 records
2026-06-13 07:01:39,497 | INFO | Bulk Upserting 100 records
2026-06-13 07:01:43,306 | INFO | Bulk Upserting 100 records
2026-06-13 07:01:47,270 | INFO | Bulk Upserting 100 records
2026-06-13 07:01:51,007 | INFO | Bulk Upserting 100 records
2026-06-13 07:01:54,881 | INFO | Bulk Upserting 100 records
2026-06-13 07:01:58,811 | INFO | Bulk Upserting 100 records
2026-06-13 07:02:03,051 | INFO | Bulk Upserting 100 records
2026-06-13 07:02:07,492 | INFO | Bulk Upserting 100 records
2026-06-13 07:02:11,575 | INFO | Bulk Upserting 100 records
2026-06-13 07:02:16,073 | INFO | Bulk Upserting 100 records
2026-06-13 07:02:21,641 | INFO | Bulk Upserting 100 records
2026-06-13 07:02:26,108 | INFO | Bulk Upserting 100 records
2026-06-13 07:02:30,472 | INFO | Bulk Upserting 100 records
2026-06-13 07:02:34,894 | INFO | Bulk Upserting 98 records
2026-06-13 07:02:39,490 | INFO | Bulk Upserting 100 records
